r0,phi,effort,reputation,A_prime,A_second,attenuation,relocation,soc_denominator,de_dphi
-1.5,0.6,1.0,0.4129600000000001,1.4022000757963198,2.1482502262777836,-1.2115008654880204,-3.550622474471342,-0.44909806687012477,nan
-1.5,0.61,1.0,0.3861663600000001,1.3378193719441063,2.639384063813742,-1.1947262119209645,-4.445836599728309,-0.7308670592463102,nan
-1.5,0.62,0.0951,-0.19290991423999998,0.09101306393805333,0.5292524036883961,-0.0839650122666905,-0.6382090824061896,0.6630390251061131,-1.867684980747755
-1.5,0.63,0.0786,-0.22292003536000002,0.07640331353940856,0.4465923701146965,-0.07277874034509903,-0.5432775152935224,0.7243486155591589,-1.4583895677647627
-1.5,0.6399999999999999,0.0655,-0.2512525055999998,0.06471990126786228,0.3798497093789928,-0.06362225174235933,-0.4662916279522938,0.7730470614373902,-1.1754392074356268
-1.5,0.6499999999999999,0.05485,-0.27855554499999985,0.055122003649154254,0.32459827313799655,-0.055893711700242404,-0.402029463478559,0.8125643667905946,-0.9663526936816922
-1.5,0.6599999999999999,0.04605,-0.3052447926399998,0.0470946616784262,0.27809678102298657,-0.04923464310509387,-0.34735536158874575,0.845064349072585,-0.804734824389509
-1.5,0.6699999999999999,0.038650000000000004,-0.33163091195999983,0.040292331072284,0.23848494019544036,-0.04340934580403588,-0.3001939011937035,0.8720351927920912,-0.6756535431819984
-1.5,0.6799999999999999,0.03245,-0.3578711347199999,0.03449073060001149,0.20455132622215413,-0.03827643319066874,-0.25926654150790085,0.894492298709644,-0.5703926312170398
-1.5,0.69,0.027200000000000002,-0.38414311583999994,0.029510491572057228,0.17531255929606318,-0.033719868089895466,-0.22352749447114048,0.9132490563272199,-0.48301710458432007
-1.5,0.7,0.02275,-0.4105625999999999,0.025221041475057087,0.15004865383847676,-0.029659944774667133,-0.19223909160607716,0.9289206204607375,-0.40961667149250647
-1.5,0.71,0.01895,-0.4372399707599999,0.02151743531683203,0.12817526696358725,-0.026032653943716063,-0.16480386093586627,0.9420070133151582,-0.3473826725961787
-1.5,0.72,0.01575,-0.46422964479999995,0.01832015829291097,0.10924763115784118,-0.02279320814170811,-0.14078349428825665,0.9529039730492984,-0.29435615594528614
-1.5,0.73,0.01305,-0.4916092174799999,0.015559210040323374,0.0928698200820693,-0.01989960727317198,-0.11977341526429647,0.9619535935743606,-0.24897699535191756
-1.5,0.74,0.010750000000000001,-0.5194522864,0.013175967187678671,0.07870782505998283,-0.017316383116734814,-0.10142880859386054,0.9694433620229953,-0.21003632131828812
-1.5,0.7499999999999999,0.0088,-0.5478049999999998,0.011122464680647851,0.06648690928390091,-0.015015327318874595,-0.08546647849053847,0.9756128847634585,-0.17660813956292326
-1.5,0.7599999999999999,0.007200000000000001,-0.5766891417599997,0.009358201958665808,0.05597378582423073,-0.01297271388318089,-0.07164255254945583,0.9806657046838387,-0.14795462655864092
-1.5,0.7699999999999999,0.00585,-0.6061706944399998,0.007844953458408277,0.04694647280393686,-0.01116305497317664,-0.059710437036691835,0.98478296251523,-0.12340822805618192
-1.5,0.7799999999999999,0.0047,-0.6362895955199998,0.0065508183721989036,0.039218989879753134,-0.00956524295434995,-0.04946124024995235,0.9881167105410188,-0.10243290189795416
-1.5,0.7899999999999999,0.0038,-0.6670427985599998,0.005449038283796262,0.03263479163717939,-0.008161787503001392,-0.04071636095654647,0.9907952768393921,-0.084592455202626
-1.5,0.7999999999999999,0.003,-0.6985087999999998,0.004512972034236763,0.027037067687638326,-0.006931925044587667,-0.033285076723885774,0.9929338961194,-0.06945286494096799
-1.5,0.8099999999999999,0.0024000000000000002,-0.7306636067199999,0.0037221119950563435,0.02230494652471193,-0.00586098643189552,-0.02702083359824942,0.9946258406429908,-0.05668875530143143
-1.5,0.82,0.0019,-0.7635615993599998,0.0030560575014405077,0.018317656510031123,-0.004931743353524634,-0.021769341063085125,0.9959539504988262,-0.04597168822961112
-1.5,0.83,0.0014500000000000001,-0.7972339529199999,0.002497469503349467,0.014972337115395515,-0.0041292161780578755,-0.01739673686929552,0.9969870628098048,-0.037023176493305075
-1.5,0.84,0.00115,-0.8316598476799998,0.0020317105648825265,0.012182004896230732,-0.0034405799389946655,-0.013787519410514827,0.997782212940214,-0.029607546593277977
-1.5,0.8499999999999999,0.0008500000000000001,-0.8669026049999996,0.001644687938765462,0.009862716151987949,-0.0028518888858193106,-0.01082719987257883,0.9983883504738083,-0.023494081674061522
-1.5,0.8599999999999999,0.0006500000000000001,-0.9029425891199996,0.001325006543964125,0.00794652720334646,-0.00235193961579808,-0.008421735780911911,0.9988448795092135,-0.01849552444578362
-1.5,0.8699999999999999,0.0005,-0.9398083211999996,0.001062166480106933,0.006370742085792615,-0.0019294891411030495,-0.0064830060034578125,0.9991846490256061,-0.014437097350527908
-1.5,0.8799999999999999,0.00035,-0.9775248921599995,0.0008471165108220337,0.005081263649477078,-0.001574416862353399,-0.004934167857563216,0.999434219800421,-0.01116691366712028
-1.5,0.8899999999999999,0.00025,-1.0160901537999996,0.0006721657833232666,0.004032090985006671,-0.0012778140407288625,-0.00370924941926563,0.999614835358492,-0.00855486209841884
-1.5,0.8999999999999999,0.0002,-1.0555166399999996,0.0005305919657341189,0.0031829886889355665,-0.0010314707813871271,-0.0027503430261913487,0.9997434603708586,-0.006486529278360675
-1.5,0.9099999999999999,0.00015000000000000001,-1.0958268685199994,0.0004166180808679252,0.002499361319849371,-0.0008280034386401491,-0.0020076615885637394,0.9998334312758295,-0.004863266673522978
-1.5,0.9199999999999999,0.0001,-1.1370306150399998,0.00032537483943864573,0.0019520372875760027,-0.0006609534338420872,-0.0014392790410838298,0.9998950750379977,-0.0036017515500237434
-1.5,0.9299999999999999,5e-05,-1.1791376542799998,0.0002527396353755662,0.0015163100522249204,-0.0005246268255271853,-0.0010099128707742344,0.9999363061608211,-0.0026315195558162434
-1.5,0.94,5e-05,-1.2221509833599997,0.00019525356346493128,0.0011714451304000555,-0.00041406251682627186,-0.0006902362506838877,0.9999631012559408,-0.0018936661854919582
-1.5,0.95,5e-05,-1.2660892949999998,0.0001500073439956932,0.0008999990584424323,-0.00032491590709467146,-0.000455985051286306,0.9999799084170166,-0.0013390768225568824
-1.475,0.05,0.8663000000000001,0.8327514950000001,0.6316378409635717,-2.8835282205310953,-0.003789827045781431,0.03992679937083197,4.163708134982361,0.014882376786633943
-1.475,0.06,0.8665,0.8327014288000001,0.6317822187615555,-2.88394754942862,-0.00545859837009984,0.057501704566661926,4.163592283849076,0.021433634771763754
-1.475,0.07,0.86675,0.8326082188,0.6320510678895268,-2.884728045956016,-0.007432920558380836,0.07828422845872737,4.163644569469577,0.029179311104741246
-1.475,0.08,0.8671000000000001,0.8324979558400002,0.6323691974311136,-2.885651028204575,-0.009713190872541907,0.10227661591833068,4.1635868618008764,0.038121729740643324
-1.475,0.09,0.8675,0.832316739,0.6328922633851981,-2.887167219962804,-0.012303425600208251,0.12950168391549458,4.163874815249487,0.0482641103210246
-1.475,0.09999999999999999,0.86805,0.8321305600000001,0.6334299382243118,-2.8887239839199914,-0.015202318517383481,0.15995192118496226,4.163864016616578,0.059610347548265434
-1.475,0.10999999999999999,0.8687,0.83188544324,0.6341382639353995,-2.8907720972594193,-0.018415375184684,0.19365846925870714,4.1640094915504084,0.07216556450536453
-1.475,0.12,0.8695,0.8316072832000001,0.6349426842366144,-2.8930942767350585,-0.021943619167217394,0.2306269093144777,4.164034072595652,0.08593581741682413
-1.475,0.13,0.8704500000000001,0.8312819420800002,0.6358843682244454,-2.895807580170727,-0.02579146997518351,0.27088193648418146,4.164026387800217,0.10092848563054496
-1.475,0.13999999999999999,0.8715,0.8308553232,0.6371205325687939,-2.8993609790839527,-0.02997014985203606,0.31448624681035753,4.1644365425017735,0.11715245802885803
-1.475,0.14999999999999997,0.8728,0.8304328150000001,0.6383462788903672,-2.9028750047289353,-0.03447069906007981,0.36138869786224975,4.164263747428517,0.13461746720346118
-1.475,0.15999999999999998,0.8742000000000001,0.8298803814400001,0.6399511918311658,-2.9074618324302524,-0.039318601226106815,0.41173105074303473,4.164679699363986,0.15333574101909345
-1.475,0.16999999999999998,0.87585,0.8293030641600002,0.6416311011692217,-2.9122457123631826,-0.04450353317709722,0.46545392440107675,4.164688035859717,0.1733202288229285
-1.475,0.18,0.8777,0.8286463228800002,0.643545476897429,-2.917675689281658,-0.05004209628354408,0.522647733802152,4.164735089867975,0.19458633009013862
-1.475,0.19,0.87975,0.8278953508000001,0.6457388963867139,-2.9238688212750152,-0.055946817982944895,0.5833786495837573,4.16490364357972,0.21715117818671853
